datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,PS,PS,3657.131,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,RECO,RECO,116.554,False
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,PEP,SMECO,244.732,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,PL,UGI,73.209,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RFC,MIDATL,AE,VMEU,70.173,True
10/1/2025 8:00:00 AM,10/1/2025 4:00:00 AM,RTO,RTO,RTO,RTO,72247.491,False
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,AE,AECO,833.511,False
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPAPT,3347.705,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPIMP,3119.043,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPKPT,450.627,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,AEP,AEPOPT,6857.389,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,AP,AP,4362.658,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,BC,BC,2518.449,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,CE,CE,8967.838,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,DAY,DAY,1619.709,False
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,DEOK,DEOK,2370.485,False
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,SERC,SOUTH,DOM,DOM,12531.567,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,DPL,DPLCO,1493.795,False
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,DUQ,DUQ,1156.133,False
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,DPL,EASTON,19.046,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,SERC,WEST,EKPC,EKPC,1075.407,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,JC,JC,1803.995,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,ME,ME,1361.481,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,ATSI,OE,5936.424,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,OVEC,OVEC,29.000,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,WEST,ATSI,PAPWR,457.844,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,PE,PE,3293.432,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2175.136,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,PL,PLCO,3447.006,False
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,PN,PN,1576.669,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,PS,PS,3792.160,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,RECO,RECO,120.544,False
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,PEP,SMECO,267.129,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,PL,UGI,78.356,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RFC,MIDATL,AE,VMEU,73.629,True
10/1/2025 9:00:00 AM,10/1/2025 5:00:00 AM,RTO,RTO,RTO,RTO,75136.167,False
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,AE,AECO,893.812,False
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPAPT,3575.406,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPIMP,3280.531,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPKPT,489.574,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,AEP,AEPOPT,7209.215,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,WEST,AP,AP,4683.937,True
10/1/2025 10:00:00 AM,10/1/2025 6:00:00 AM,RFC,MIDATL,BC,BC,2763.250,True
